epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,172.588,1.37738,1.75126,1.09636,0.41671,0.38714,0.36453,0.2168,1.23068,1.09251,1.05339,0.000276924,0.000276924,0.000276924
2,322.586,1.24666,1.14937,1.05675,0.51336,0.46335,0.46962,0.27244,1.21988,0.94926,1.06487,0.0005491,0.0005491,0.0005491
3,461.904,1.20928,1.02461,1.04832,0.55486,0.47444,0.50291,0.29683,1.17877,0.91241,1.05345,0.000815779,0.000815779,0.000815779
4,601.337,1.18025,0.93462,1.03707,0.64386,0.51213,0.57125,0.33979,1.12744,0.83719,1.03135,0.00080826,0.00080826,0.00080826
5,741.721,1.1471,0.87403,1.02605,0.70077,0.51381,0.59361,0.3639,1.09475,0.78829,1.01833,0.000800013,0.000800013,0.000800013
6,880.084,1.12565,0.83504,1.01976,0.62548,0.56629,0.60928,0.38236,1.08722,0.76788,1.01669,0.000791767,0.000791767,0.000791767
7,1020.35,1.10586,0.80208,1.00996,0.66213,0.5684,0.62299,0.3851,1.07569,0.77676,1.01125,0.00078352,0.00078352,0.00078352
8,1158.51,1.08905,0.78805,1.00348,0.70069,0.57064,0.6508,0.40232,1.07306,0.7222,1.01096,0.000775273,0.000775273,0.000775273
9,1296.88,1.07641,0.76027,0.99853,0.71144,0.64339,0.68914,0.44081,1.03791,0.70059,0.99845,0.000767026,0.000767026,0.000767026
10,1435.97,1.05948,0.74107,0.9896,0.7375,0.58871,0.69025,0.44235,1.01556,0.68333,0.98864,0.00075878,0.00075878,0.00075878
11,1574.94,1.05278,0.7326,0.99006,0.74727,0.63223,0.72029,0.45438,0.99222,0.66622,0.97798,0.000750533,0.000750533,0.000750533
12,1715.11,1.0354,0.71417,0.98253,0.73168,0.63203,0.70897,0.45716,1.01529,0.67159,0.98784,0.000742286,0.000742286,0.000742286
13,1853.2,1.02586,0.7001,0.97664,0.77885,0.65355,0.73458,0.47003,0.98368,0.64854,0.98099,0.00073404,0.00073404,0.00073404
14,1991.75,1.00811,0.68789,0.97394,0.78797,0.65794,0.74717,0.48292,0.98157,0.63168,0.97997,0.000725793,0.000725793,0.000725793
15,2131.92,1.00462,0.67982,0.97011,0.75131,0.66815,0.74573,0.48559,0.97893,0.63451,0.97539,0.000717546,0.000717546,0.000717546
16,2270.49,0.99595,0.67175,0.96984,0.83389,0.65936,0.77192,0.49793,0.96119,0.62218,0.97408,0.000709299,0.000709299,0.000709299
17,2410.06,0.98793,0.66257,0.96403,0.82671,0.69885,0.78624,0.51255,0.95007,0.60434,0.96855,0.000701053,0.000701053,0.000701053
18,2547.85,0.98277,0.6578,0.96657,0.8031,0.67681,0.76807,0.50592,0.94968,0.60883,0.96669,0.000692806,0.000692806,0.000692806
19,2687.09,0.97543,0.64996,0.96092,0.82247,0.70121,0.78897,0.51113,0.95325,0.59337,0.96665,0.000684559,0.000684559,0.000684559
20,2825.52,0.96797,0.6384,0.9556,0.82106,0.70599,0.7968,0.52668,0.93034,0.58822,0.962,0.000676313,0.000676313,0.000676313
